1.B,1.E,disjoint
1.B,1.D,disjoint
1.B,1.C,disjoint
1.B,2.B,equals
2.G,1.D,disjoint
1.B,2.F,disjoint
2.G,1.B,disjoint
1.B,2.D,disjoint
2.G,2.B,disjoint
2.A,1.B,includes
2.G,2.D,disjoint
2.A,1.D,includes
2.G,2.F,disjoint
1.E,1.D,disjoint
2.A,2.F,includes
2.A,2.G,includes
2.A,2.D,includes
1.C,2.D,disjoint
2.A,2.B,includes
2.B,2.D,disjoint
2.B,2.G,disjoint
2.B,2.F,disjoint
1.C,2.B,disjoint
2.F,1.B,disjoint
1.A,2.D,includes
1.A,2.G,overlaps
1.A,2.F,overlaps
1.A,2.A,is_included_in
2.F,1.D,disjoint
1.A,2.B,includes
1.E,1.C,disjoint
1.B,2.A,{}
2.F,2.D,disjoint
2.F,2.G,disjoint
1.D,1.E,disjoint
1.A,1.B,includes
1.B,2.G,disjoint
2.D,2.G,disjoint
2.D,2.F,disjoint
2.D,2.B,disjoint
1.A,1.D,includes
1.C,2.G,overlaps
1.C,2.F,overlaps
2.D,1.B,disjoint
2.D,1.C,disjoint
1.E,1.B,disjoint
2.D,1.E,disjoint
1.C,2.A,{}
1.E,2.G,overlaps
1.C,1.B,disjoint
1.C,1.D,disjoint
1.C,1.E,disjoint
1.D,1.C,disjoint
1.D,1.B,disjoint
1.E,2.B,disjoint
1.E,2.D,disjoint
2.F,2.B,disjoint
1.E,2.F,overlaps
1.E,2.A,{}
2.B,1.D,disjoint
2.B,1.E,disjoint
2.B,1.C,disjoint
1.D,2.D,equals
1.A,1.C,includes
1.D,2.F,disjoint
1.D,2.G,disjoint
1.D,2.A,{}
1.D,2.B,disjoint
1.A,1.E,includes
